ENODEB_CELLNAME,ENODEB,DATA_DATE,MARKET_CLUSTER,VERSION,REGION,MARKET,DL_CH_BANDWIDTH,EARFCN_DL,DRBPDCPSDUKBYTESDL_NONGBR,DLPRBUSEDWITHDSPUC_FDUSERS,DLPRBUSEDWITHDSPUC_FSUSERS,EUCELL_DL_TPUT_NUM_KBITS,EUCELL_DL_TPUT_DEN_SECS,EUCELL_DL_DRB_TPUT_NUM_KBITS,EUCELL_DL_DRB_TPUT_DEN_SECS
JKT06309_7B_1,JKT06309,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,84063408,298447575,1411735929,505622192.1,37344.509,572554657.8,34567.727
JKT06309_7C_1,JKT06309,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,27575417,119854554,363479808,147997564.9,9674.426,174433714.2,8898.440
JKT06309_7A_1,JKT06309,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,7378730,39828528,130018309,34024972.29,2855.512,46359863.3,3044.856
JKT09232_8C_1,JKT09232R,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n25-5MHz,2425,21604145,300083448,582572617,127182733.3,33018.223,161660682.2,39415.604
JKT09232_8B_1,JKT09232R,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n25-5MHz,2425,269199591,245183690,5930414272,1785817096,1112699.998,2014182539,1149768.564
JKT09232_8A_1,JKT09232R,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n25-5MHz,2425,308235359,1937184267,6555575896,2153414615,1182140.6,2320728932,1157043.996
JKT09227_8A_1,JKT09227R,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n25-5MHz,2425,11429437,175064536,244263066,70064201.73,16994.871,85978013.7,18532.298
JKT09227_8B_1,JKT09227R,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n25-5MHz,2425,262480503,913671252,5629343549,1897597854,497965.198,1974330237,469308.697
JKT09227_8C_1,JKT09227R,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n25-5MHz,2425,15485648,200940982,383040321,95675711.49,22801.921,11695060.4,25608.648
JKT00116_3C_1,JKT00116,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,9820,37075048,94534146,1752981113,167961240.4,9685.707,219925725.2,8366.501
