ENODEB_CELLNAME,ENODEB,DATA_DATE,MARKET_CLUSTER,VERSION,REGION,MARKET,DL_CH_BANDWIDTH,EARFCN_DL,DRBPDCPSDUKBYTESDL_NONGBR,DLPRBUSEDWITHDSPUC_FDUSERS,DLPRBUSEDWITHDSPUC_FSUSERS,EUCELL_DL_TPUT_NUM_KBITS,EUCELL_DL_TPUT_DEN_SECS,EUCELL_DL_DRB_TPUT_NUM_KBITS,EUCELL_DL_DRB_TPUT_DEN_SECS
SBY00165_7A_1,SBY00165,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,152463948,921063178,4284555882,769377222.7,108155.068,1023901491,109257.9
SBY00168_7B_1,SBY00168,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,330804836,2777675624,9457475403,2105768903,450440.229,2336501785,396731.919
SBY00168_7A_1,SBY00168,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,382895743,2871800195,9403524095,2537774842,463032.767,2739589046,394748.647
SBY00168_7C_1,SBY00168,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,265845867,3831890313,7533390459,1636049659,487326.539,1924500791,500364.661
SBY00197_7A_1,SBY00197,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,150988075,2461376798,3948245031,745839231,154935.486,1010585772,165654.24
SBY00314_7C_1,SBY00314,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,109601103,4047095999,2854707733,603952250.9,156862.338,800666542.1,174304.216
SBY00314_7B_1,SBY00314,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,215653759,2755346135,6142449376,2473715999,247325.759,1550373323,238738.56
SBY00314_7A_1,SBY00314,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,328238237,4716935028,8317839541,3193473800,572445.085,2355434373,529540.196
SBY00315_7C_1,SBY00315,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,31443355,176532746,1336242445,92481530.88,8464.214,246588522,8932.543
SBY00315_7B_1,SBY00315,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,410779590,6689023113,5631163119,2346227302,533054.161,2848043401,493416.625
SBY00315_7A_1,SBY00315,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,195717330,2135472397,4777991923,1184991797,186659.392,1406694539,184007.726
SBY00318_7B_1,SBY00318,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,116281906,631235016,2990235557,727244081.4,90701.586,818014691.3,86571.93
SBY00318_7A_1,SBY00318,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,75492131,754458461,1344586574,333040132.1,40100.461,457476775.9,43215.463
SBY00317_7A_1,SBY00317,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,274762964,3617250459,7757053913,1729790362,440463.347,1947940192,387541.365
SBY00265_7A_1,SBY00265,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,97379566,1338476136,3316166336,607810002.9,110901.077,709382168.6,114598.616
SBY00265_7B_1,SBY00265,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,81713865,1489318257,2367698299,540068323.3,95879.425,603764580.4,94258.676
SBY00264_7B_1,SBY00264,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,305658641,5404550419,7450529334,1942436766,531673.606,2231063173,655778.452
